,Age,Diet,Died
289,0-34,Low,False
290,0-34,Low,False
291,0-34,Low,False
292,0-34,Low,False
293,0-34,Low,False
294,0-34,Low,False
295,0-34,Low,False
296,0-34,Low,False
297,0-34,Low,False
298,0-34,Low,False
299,0-34,Low,False
300,0-34,Low,False
301,0-34,Low,False
302,0-34,Low,False
303,0-34,Low,False
304,0-34,Low,False
305,0-34,Low,False
306,0-34,Low,False
307,0-34,Low,False
308,0-34,Low,False
309,0-34,Low,False
310,0-34,Low,False
311,0-34,Low,False
312,0-34,Low,False
313,0-34,Low,False
314,0-34,Low,False
315,0-34,Low,False
316,0-34,Low,False
317,0-34,Low,False
318,0-34,Low,False
319,0-34,Low,False
320,0-34,Low,False
321,0-34,Low,False
322,0-34,Low,False
323,0-34,Low,False
324,0-34,Low,False
325,0-34,Low,False
326,0-34,Low,False
327,0-34,Low,False
328,0-34,Low,False
329,0-34,Low,False
330,0-34,Low,False
331,0-34,Low,False
332,0-34,Low,False
333,0-34,Low,False
334,0-34,Low,False
335,0-34,Low,False
336,0-34,Low,False
337,0-34,Low,False
338,0-34,Low,False
339,0-34,Low,False
340,0-34,Low,False
341,0-34,Low,False
342,0-34,Low,False
343,0-34,Low,False
344,0-34,Low,False
345,0-34,Low,False
346,0-34,Low,False
347,0-34,Low,False
348,0-34,Low,False
349,0-34,Low,False
350,0-34,Low,False
351,0-34,Low,False
352,0-34,Low,False
353,0-34,Low,False
354,0-34,Low,False
355,0-34,Low,False
356,0-34,Low,False
357,0-34,Low,False
358,0-34,Low,False
359,0-34,Low,False
360,0-34,Low,False
361,0-34,Low,False
362,0-34,Low,False
363,0-34,Low,False
364,0-34,Low,False
365,0-34,Low,False
366,0-34,Low,False
367,0-34,Low,False
368,0-34,Low,False
369,0-34,Low,False
370,0-34,Low,False
371,0-34,Low,False
372,0-34,Low,False
373,0-34,Low,False
374,0-34,Low,False
375,0-34,Low,False
376,0-34,Low,False
377,0-34,Low,False
378,0-34,Low,False
379,0-34,Low,False
380,0-34,Low,False
381,0-34,Low,False
382,0-34,Low,False
383,0-34,Low,False
384,0-34,Low,False
385,0-34,Low,False
386,0-34,Low,False
387,0-34,Low,False
388,0-34,Low,False
389,0-34,Low,False
390,0-34,Low,False
391,0-34,Low,False
392,0-34,Low,False
393,0-34,Low,False
394,0-34,Low,False
395,0-34,Low,False
396,0-34,Low,False
397,0-34,Low,False
398,0-34,Low,False
399,0-34,Low,False
400,0-34,Low,False
401,0-34,Low,False
402,0-34,Low,False
403,0-34,Low,False
404,0-34,Low,False
405,0-34,Low,False
406,0-34,Low,False
407,0-34,Low,False
408,0-34,Low,False
409,0-34,Low,False
410,0-34,Low,False
411,0-34,Low,False
412,0-34,Low,False
413,0-34,Low,False
414,0-34,Low,False
415,0-34,Low,False
416,0-34,Low,False
417,0-34,Low,False
418,0-34,Low,False
419,0-34,Low,False
420,0-34,Low,False
421,0-34,Low,False
422,0-34,Low,False
423,0-34,Low,False
424,0-34,Low,False
425,0-34,Low,False
426,0-34,Low,False
427,0-34,Low,False
428,0-34,Low,False
429,0-34,Low,False
430,0-34,Low,False
431,0-34,Low,False
432,0-34,Low,False
433,0-34,Low,False
434,0-34,Low,False
435,0-34,Low,False
436,0-34,Low,False
437,0-34,Low,False
438,0-34,Low,False
439,0-34,Low,False
440,0-34,Low,False
441,0-34,Low,False
442,0-34,Low,False
443,0-34,Low,False
444,0-34,Low,False
445,0-34,Low,False
446,0-34,Low,False
447,0-34,Low,False
448,0-34,Low,False
449,0-34,Low,False
450,0-34,Low,False
451,0-34,Low,False
452,0-34,Low,False
453,0-34,Low,False
454,0-34,Low,False
455,0-34,Low,False
456,0-34,Low,False
